lf;Category;NCP;Time.Scenario;Method
categories/02-Fut.A-45_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_22-Sci.int-cat.NonM_Method B.tif;Non-material;Scientific interest;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_22-Sci.int-cat.NonM_Method C.tif;Non-material;Scientific interest;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_23-Lin.end-cat.NonM_Method A.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_23-Lin.end-cat.NonM_Method B.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_23-Lin.end-cat.NonM_Method C.tif;Non-material;Linked with an endangered habitat;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_24-Tot-cat.NonM_Method A.tif;Non-material;Total Non-material services;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_24-Tot-cat.NonM_Method B.tif;Non-material;Total Non-material services;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_24-Tot-cat.NonM_Method C.tif;Non-material;Total Non-material services;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/02-Fut.A-45_27-Tot-cat.All_Method A.tif;All;Total NCPs;RCP 4.5 (2020-2049);Method 'NCP-BIN'
categories/02-Fut.A-45_27-Tot-cat.All_Method B.tif;All;Total NCPs;RCP 4.5 (2020-2049);Method 'NCP-BIN-SP'
categories/02-Fut.A-45_27-Tot-cat.All_Method C.tif;All;Total NCPs;RCP 4.5 (2020-2049);Method 'NCP-HS'
categories/04-Fut.C-45_01-Pot.cro-cat.Mat_Method A.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_01-Pot.cro-cat.Mat_Method B.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_01-Pot.cro-cat.Mat_Method C.tif;Material;Potential crop (genetic ressources);RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_02-Sol.woo-cat.Mat_Method A.tif;Material;Solid wood;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_02-Sol.woo-cat.Mat_Method B.tif;Material;Solid wood;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_02-Sol.woo-cat.Mat_Method C.tif;Material;Solid wood;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_03-Bur.woo-cat.Mat_Method A.tif;Material;Burned wood;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_03-Bur.woo-cat.Mat_Method B.tif;Material;Burned wood;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_03-Bur.woo-cat.Mat_Method C.tif;Material;Burned wood;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_04-Wil.foo-cat.Mat_Method A.tif;Material;Wild food;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_04-Wil.foo-cat.Mat_Method B.tif;Material;Wild food;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_04-Wil.foo-cat.Mat_Method C.tif;Material;Wild food;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_05-Wil.use-cat.Mat_Method A.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_05-Wil.use-cat.Mat_Method B.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_05-Wil.use-cat.Mat_Method C.tif;Material;Wild use medicinal, dye, fur;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_06-Mel-cat.Mat_Method A.tif;Material;Mellifera (for domestic species);RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_06-Mel-cat.Mat_Method B.tif;Material;Mellifera (for domestic species);RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_06-Mel-cat.Mat_Method C.tif;Material;Mellifera (for domestic species);RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_07-For.pas-cat.Mat_Method A.tif;Material;Forage-pasture;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_07-For.pas-cat.Mat_Method B.tif;Material;Forage-pasture;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_07-For.pas-cat.Mat_Method C.tif;Material;Forage-pasture;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_08-Tot-cat.Mat_Method A.tif;Material;Total material services;RCP 4.5 (2070-2099);Method 'NCP-BIN'
categories/04-Fut.C-45_08-Tot-cat.Mat_Method B.tif;Material;Total material services;RCP 4.5 (2070-2099);Method 'NCP-BIN-SP'
categories/04-Fut.C-45_08-Tot-cat.Mat_Method C.tif;Material;Total material services;RCP 4.5 (2070-2099);Method 'NCP-HS'
categories/04-Fut.C-45_11-Dec-cat.Reg_Method A.tif;Regulating/maintenance;Decontamination;RCP 4.5 (2070-2099);Method 'NCP-BIN'
